249,113
129,114
130,55
131,43
136,32
145,21
159,13
177,8
194,5
213,3
230,1
249,1
265,1
286,3
305,5
323,9
335,14
344,19
353,26
359,34
364,42
367,50
369,57
371,66
370,74
370,186
367,200
363,212
355,221
348,229
338,237
325,243
344,207
345,199
343,191
333,186
337,179
338,176
337,173
331,170
321,166
319,165
317,167
315,169
312,175
282,159
283,153
282,147
279,142
315,75
316,69
313,66
309,65
303,65
300,72
296,82
268,135
265,135
260,136
256,138
252,145
248,141
242,140
236,142
230,148
225,157
178,246
170,247
161,251
153,255
145,260
139,266
128,277
122,287
116,300
115,311
114,324
114,376
64,374
52,371
41,365
31,357
19,341
12,325
6,299
1,279
1,258
1,242
3,222
8,192
17,168
29,151
42,141
55,133
73,129
86,128
250,129
386,131
400,131
422,132
437,132
455,136
466,144
475,154
480,165
486,179
489,194
494,209
497,225
497,240
497,253
497,271
495,288
492,304
488,320
482,336
472,351
462,363
448,370
429,374
410,374
249,374
248,391
369,391
370,442
366,451
364,460
357,469
349,478
342,482
331,490
314,496
297,501
283,502
267,504
258,505
243,505
230,503
211,500
192,495
178,491
164,483
146,471
136,458
130,441
129,314
132,303
135,295
142,286
148,280
157,273
164,268
168,264
163,277
152,296
151,305
154,310
160,313
246,359
252,361
257,362
262,359
268,354
270,347
317,259
322,258
332,255
341,252
349,248
362,238
370,227
378,217
383,203
386,189
385,173
386,160
387,145
386,132
